title,start_dt_local,start_date,venue,city,state,country,price_min,price_max,place,price
Small World meetups - BookMyShow,,,,,,,,,,
Snehdeep Singh Kalsi Live,2025-10-10 20:30,2025-10-10,,,,,599,599,,599
Speed Friending,2025-10-11 17:38,2025-10-11,,,,,499,499,,499
Main Tenu Phir Milangi by Laksh Maheshwari Performances Event Tickets - BookMyShow,,,,,,,,,,
SURON KE SARTAAJ,2025-10-12 21:00,2025-10-12,,,,,300,300,,300
The Lumineers: The Automatic World Tour,2026-02-01 17:00,2026-02-01,,,,,4000,4000,,4000
THE WEEKND NIGHT - AHMEDABAD,2025-10-25 18:00,2025-10-25,,,,,1499,1499,,1499
Tie Dye,2025-11-22 16:00,2025-11-22,,,,,1699,1699,,1699
Tissue Texture Art,2025-11-29 16:00,2025-11-29,,,,,799,799,,799
ToteBag Painting,2025-11-02 16:00,2025-11-02,,,,,1799,1799,,1799
Solo Travelers Meetup,2025-10-18 15:00,2025-10-18,,,,,199,199,,199
VIR DAS - SOUNDS OF INDIA,2025-10-12 20:00,2025-10-12,,,,,1999,1999,,1999
Backspace Pune Comedy comedy-shows Pune - BookMyShow,,,,,,,,,,
Backspace Todi Mills Comedy comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Bhala Manushya ft. Naman Jain - India Tour 2025,2025-11-07 20:00,2025-11-07,,,,,699,699,,699
Rajat Sood Live,2025-10-03 21:00,2025-10-03,,,,,499,499,,499
CALVIN HARRIS - India Tour,2025-11-08 16:00,2025-11-08,,,,,,,,
Chalta Hai Comedy comedy-shows Mumbai - BookMyShow,,,,,,,,,,
Chess Learning Session For Kids : Ages 5-15,2025-10-19 11:00,2025-10-19,,,,,299,299,,299
Sweets Making Workshop,2025-10-04 11:00,2025-10-04,,,,,2500,2500,,2500
Haseeb Khan Live,2025-10-03 20:00,2025-10-03,,,,,499,499,,499
Getting There by Rohan Joshi,2025-11-01 19:00,2025-11-01,,,,,799,799,,799
Halki Halki Fati? By Vikas Kush Sharma,2025-10-04 18:00,2025-10-04,,,,,999,999,,999
Vikas Kush Sharma India Tour comedy-shows Delhi-NCR - BookMyShow,,,,,,,,,,
Inder Sahani Tour comedy-shows Delhi-NCR - BookMyShow,,,,,,,,,,
"John Mayer Solo - Live In Mumbai, 2026",2026-01-22 17:00,2026-01-22,,,,,,,,
Jon Batiste - The Maestro Series - Delhi,2025-11-24 20:00,2025-11-24,,,,,1499,1499,,1499
KAMYAB ZINDAGI by Ranmal Jain Comedy Shows Event Tickets - BookMyShow,,,,,,,,,,
Karunesh Talwar Live 2025,2025-10-11 19:00,2025-10-11,,,,,799,799,,799
Khi khi comedy show,2025-10-05 18:00,2025-10-05,,,,,150,150,,150
Kids Chess Championship (Online),2025-10-11 20:30,2025-10-11,,,,,444,444,,444
Kids Chess Upskilling Session : Ages 5-15,2025-10-12 16:00,2025-10-12,,,,,399,399,,399
"Movie Tickets, Plays, Sports, Music Concerts, Theater & Reviews BookMyShow",,,,,,,,,,
Reema Swad Cooking Classes workshops Chennai - BookMyShow,,,,,,,,,,
Rishta-E-Relationship ft. Amit Khuva : Comedy Show,2025-11-09 16:00,2025-11-09,,,,,999,999,,999
Satrangi Re by Sonu Nigam India Tour,2025-11-09 19:30,2025-11-09,,,,,799,799,,799
Sex jokes only,2025-10-04 21:30,2025-10-04,,,,,150,150,,150
"Solve the Rubik's Cube, Sharpen 6 Vital Skills",2025-10-05 14:00,2025-10-05,,,,,500,500,,500
Studio XO Bar music-shows Delhi-NCR - BookMyShow,,,,,,,,,,
Sunburn Arena ft. DJ Snake music-shows Mumbai - BookMyShow,,,,,,,,,,
Chess Mastery Session For Kids : Ages 5-15 kids Event Tickets Mumbai - BookMyShow,,,,,,,,,,
SURAT'S FUNNIEST - Standup Comedy Show,2025-10-03 20:30,2025-10-03,,,,,150,150,,150
The Comedy Factory comedy-shows Ahmedabad - BookMyShow,,,,,,,,,,
THE FINAL COUNTDOWN (SURAT),2025-12-31 19:30,2025-12-31,,,,,100,100,,100
The Laugh Store: DLF Cyberhub comedy-shows Delhi-NCR - BookMyShow,,,,,,,,,,
The Laugh Store comedy-shows National Capital Region (NCR) - BookMyShow,,,,,,,,,,
Thursday comedy night,2025-10-02 20:00,2025-10-02,,,,,150,150,,150
Travis Scott: Circus Maximus Stadium Tour - India,2025-11-19 17:00,2025-11-19,,,,,35000,35000,,35000
Vipul Goyal Unleashed,2025-11-07 21:00,2025-11-07,,,,,899,899,,899
3d Printing Workshop for Beginners,2025-10-03 17:00,2025-10-03,,,,,500,500,,500
A date with ukulele,2025-10-05 14:00,2025-10-05,,,,,1690,1690,,1690
Abijit Ganguly Live,2025-10-12 18:00,2025-10-12,,,,,699,699,,699
Abish Mathew Live,2025-10-25 18:00,2025-10-25,,,,,1199,1199,,1199
Abra-ka-dabra Bengaluru,2025-10-10 16:30,2025-10-10,,,,,299,299,,299
Acro Yoga,2025-10-04 8:00,2025-10-04,,,,,499,499,,499
Adnan Sami Live in Concert,2025-11-09 19:02,2025-11-09,,,,,1499,1499,,1499
Aerial Awakenings Series  A yoga workshop By NYDC,2025-10-18 10:00,2025-10-18,,,,,999,999,,999
Aerial Hoop Workshop,2025-10-26 10:00,2025-10-26,,,,,1200,1200,,1200
Agama Vipina Mayuri - The Dance of the Goddess,2025-10-25 19:00,2025-10-25,,,,,850,850,,850
Akhil Nair Live,2025-10-11 19:00,2025-10-11,,,,,499,499,,499
Alt Rock Nights Ft. WIP (Work in Progress),2025-10-09 21:00,2025-10-09,,,,,249,249,,249
Anime & Manga Art Workshop,2025-10-10 16:00,2025-10-10,,,,,599,599,,599
CRY DADDY by Anirban Dasgupta,2025-10-19 17:00,2025-10-19,,,,,799,799,,799
AP Dhillon: One Of One Tour - Bengaluru,2025-12-19 18:30,2025-12-19,,,,,413000,413000,,413000
Are You Marriage Material,2025-10-19 19:00,2025-10-19,,,,,449,449,,449
Art Your Rock,2025-10-04 14:00,2025-10-04,,,,,799,799,,799
Ashwin Srinivas Live,2025-10-02 19:30,2025-10-02,,,,,399,399,,399
